,opening_range_minutes,total_trades,buy_count,sell_count,pnl,win_rate,long_signals,short_signals
0,3,5,3,2,-24698.548828125,0.5,15,2
1,6,3,2,1,-24356.1484375,1.0,3,1
2,9,0,0,0,0.0,0.0,0,0
3,12,0,0,0,0.0,0.0,0,0
4,15,0,0,0,0.0,0.0,0,0
5,18,0,0,0,0.0,0.0,0,0
6,21,0,0,0,0.0,0.0,0,0
7,24,0,0,0,0.0,0.0,0,0
