name,or_min,tp_level,sl_pct,risk_pct,direction_filter,total_trades,win_rate,total_return,return_pct,profit_factor,max_drawdown,sharpe_ratio,final_capital
Default,6,1,0.5,1.0,True,8,0.0,-50868.31901041661,-50.86831901041662,0.0,-50.86831901041662,-4.574503094058082,49131.68098958339
Wide SL,6,1,0.8,1.0,True,8,0.0,-34604.07356770831,-34.604073567708305,0.0,-34.60407356770831,-4.538383637431156,65395.92643229169
Tight SL,6,1,0.3,1.0,True,8,0.0,-72657.47981770823,-72.65747981770822,0.0,-72.65747981770822,-4.642222595765893,27342.520182291788
Short OR,3,1,0.5,1.0,True,15,0.0,-74270.47721354198,-74.27047721354198,0.0,-74.27047721354198,-7.244713264351068,25729.52278645801
Long OR,12,1,0.5,1.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
No Direction Filter,6,1,0.5,1.0,False,13,0.07692307692307693,-51371.326171874905,-51.37132617187491,0.010259359266437769,-51.37132617187491,-4.675926363161806,48628.673828125095
