datetime,"('close', '^nsei')","('high', '^nsei')","('low', '^nsei')","('open', '^nsei')","('volume', '^nsei')"
2025-04-21 09:15:00+00:00,24153.94921875,24155.849609375,24133.69921875,24140.650390625,0
2025-04-21 09:20:00+00:00,24146.849609375,24156.0,24143.55078125,24152.5,0
2025-04-21 09:25:00+00:00,24145.25,24154.5,24142.75,24146.44921875,0
2025-04-21 09:30:00+00:00,24117.55078125,24148.19921875,24115.19921875,24146.75,0
2025-04-21 09:35:00+00:00,24119.94921875,24125.44921875,24113.349609375,24116.5,0
2025-04-21 09:40:00+00:00,24114.400390625,24121.849609375,24109.94921875,24121.400390625,0
2025-04-21 09:45:00+00:00,24132.650390625,24134.400390625,24112.25,24114.55078125,0
2025-04-21 09:50:00+00:00,24125.69921875,24135.650390625,24119.94921875,24131.25,0
2025-04-21 09:55:00+00:00,24121.19921875,24133.650390625,24118.05078125,24123.849609375,0
2025-04-22 09:15:00+00:00,24152.099609375,24176.849609375,24144.05078125,24176.0,0
2025-04-22 09:20:00+00:00,24171.400390625,24175.19921875,24150.30078125,24153.0,0
2025-04-22 09:25:00+00:00,24171.55078125,24178.599609375,24155.30078125,24171.55078125,0
2025-04-22 09:30:00+00:00,24177.30078125,24181.0,24166.05078125,24172.900390625,0
2025-04-22 09:35:00+00:00,24172.55078125,24177.099609375,24163.0,24177.099609375,0
2025-04-22 09:40:00+00:00,24161.150390625,24174.25,24161.150390625,24173.80078125,0
2025-04-22 09:45:00+00:00,24164.599609375,24164.75,24152.599609375,24162.30078125,0
2025-04-22 09:50:00+00:00,24166.150390625,24173.94921875,24161.5,24165.0,0
2025-04-22 09:55:00+00:00,24134.05078125,24169.80078125,24126.94921875,24167.44921875,0
2025-04-23 09:15:00+00:00,24299.099609375,24303.05078125,24290.099609375,24290.69921875,0
2025-04-23 09:20:00+00:00,24309.69921875,24313.900390625,24299.5,24299.900390625,0
2025-04-23 09:25:00+00:00,24317.900390625,24319.099609375,24307.849609375,24309.900390625,0
2025-04-23 09:30:00+00:00,24331.150390625,24332.05078125,24317.599609375,24318.5,0
2025-04-23 09:35:00+00:00,24334.849609375,24335.849609375,24330.900390625,24331.19921875,0
2025-04-23 09:40:00+00:00,24337.849609375,24340.25,24333.25,24335.05078125,0
2025-04-23 09:45:00+00:00,24329.80078125,24330.75,24318.25,24320.849609375,0
