datetime,"('close', '^nsei')","('high', '^nsei')","('low', '^nsei')","('open', '^nsei')","('volume', '^nsei')"
2025-05-14 09:15:00+00:00,24633.55078125,24636.55078125,24618.400390625,24624.94921875,0
2025-05-14 09:20:00+00:00,24632.94921875,24637.69921875,24624.150390625,24633.05078125,0
2025-05-14 09:25:00+00:00,24633.25,24642.05078125,24629.44921875,24633.05078125,0
2025-05-14 09:30:00+00:00,24659.80078125,24667.05078125,24632.25,24633.30078125,0
2025-05-14 09:35:00+00:00,24673.400390625,24673.400390625,24658.599609375,24659.69921875,0
2025-05-14 09:40:00+00:00,24669.55078125,24675.19921875,24661.0,24672.650390625,0
2025-05-14 09:45:00+00:00,24657.69921875,24670.75,24651.30078125,24669.94921875,0
2025-05-14 09:50:00+00:00,24677.599609375,24678.900390625,24657.55078125,24658.150390625,0
2025-05-14 09:55:00+00:00,24685.75,24696.75,24678.349609375,24678.349609375,0
2025-05-15 09:15:00+00:00,25070.099609375,25089.150390625,25063.650390625,25089.150390625,0
2025-05-15 09:20:00+00:00,25067.05078125,25076.05078125,25061.400390625,25070.55078125,0
2025-05-15 09:25:00+00:00,25064.400390625,25068.75,25040.0,25068.75,0
2025-05-15 09:30:00+00:00,25079.849609375,25082.150390625,25048.599609375,25065.0,0
2025-05-15 09:35:00+00:00,25081.05078125,25083.69921875,25073.55078125,25079.900390625,0
2025-05-15 09:40:00+00:00,25056.400390625,25081.75,25056.05078125,25081.19921875,0
2025-05-15 09:45:00+00:00,25050.099609375,25061.80078125,25043.650390625,25055.19921875,0
2025-05-15 09:50:00+00:00,25058.30078125,25063.44921875,25050.349609375,25050.44921875,0
2025-05-15 09:55:00+00:00,25035.30078125,25062.44921875,25035.30078125,25057.900390625,0
2025-05-16 09:15:00+00:00,25010.349609375,25017.900390625,25008.69921875,25014.400390625,0
2025-05-16 09:20:00+00:00,25013.099609375,25019.44921875,25008.349609375,25011.05078125,0
2025-05-16 09:25:00+00:00,25011.900390625,25016.5,25005.30078125,25013.400390625,0
2025-05-16 09:30:00+00:00,25023.25,25027.69921875,25011.650390625,25012.30078125,0
2025-05-16 09:35:00+00:00,25032.900390625,25032.900390625,25020.05078125,25023.650390625,0
2025-05-16 09:40:00+00:00,25024.19921875,25034.5,25023.55078125,25033.150390625,0
2025-05-16 09:45:00+00:00,25017.0,25025.599609375,25015.349609375,25025.44921875,0
2025-05-16 09:50:00+00:00,25015.94921875,25018.30078125,25010.80078125,25017.5,0
2025-05-16 09:55:00+00:00,25013.099609375,25018.900390625,25002.69921875,25015.0,0
2025-05-19 09:15:00+00:00,24929.849609375,24942.80078125,24916.650390625,24941.30078125,0
2025-05-19 09:20:00+00:00,24922.150390625,24937.349609375,24919.0,24931.55078125,0
2025-05-19 09:25:00+00:00,24926.44921875,24931.69921875,24921.400390625,24923.19921875,0
2025-05-19 09:30:00+00:00,24948.650390625,24958.5,24926.19921875,24926.94921875,0
2025-05-19 09:35:00+00:00,24945.25,24956.150390625,24936.25,24947.900390625,0
2025-05-19 09:40:00+00:00,24945.650390625,24949.5,24942.5,24945.650390625,0
2025-05-19 09:45:00+00:00,24945.400390625,24946.849609375,24940.30078125,24945.349609375,0
2025-05-19 09:50:00+00:00,24945.25,24947.94921875,24939.75,24944.849609375,0
2025-05-19 09:55:00+00:00,24935.349609375,24951.650390625,24927.44921875,24944.80078125,0
2025-05-20 09:15:00+00:00,24699.150390625,24707.05078125,24679.150390625,24681.650390625,0
2025-05-20 09:20:00+00:00,24689.25,24706.69921875,24688.69921875,24699.80078125,0
2025-05-20 09:25:00+00:00,24677.30078125,24691.69921875,24677.0,24688.650390625,0
2025-05-20 09:30:00+00:00,24680.150390625,24695.19921875,24675.0,24677.25,0
2025-05-20 09:35:00+00:00,24686.19921875,24686.80078125,24670.0,24679.80078125,0
2025-05-20 09:40:00+00:00,24693.099609375,24703.55078125,24684.19921875,24685.44921875,0
2025-05-20 09:45:00+00:00,24676.650390625,24693.69921875,24672.05078125,24692.849609375,0
2025-05-20 09:50:00+00:00,24683.150390625,24688.900390625,24675.900390625,24676.599609375,0
2025-05-20 09:55:00+00:00,24713.849609375,24713.849609375,24682.44921875,24682.75,0
2025-05-21 09:15:00+00:00,24799.05078125,24806.0,24785.55078125,24785.55078125,0
2025-05-21 09:20:00+00:00,24810.25,24813.900390625,24790.150390625,24798.69921875,0
2025-05-21 09:25:00+00:00,24807.19921875,24812.900390625,24796.349609375,24810.94921875,0
2025-05-21 09:30:00+00:00,24816.75,24828.44921875,24807.0,24807.0,0
2025-05-21 09:35:00+00:00,24829.349609375,24829.849609375,24815.0,24816.75,0
2025-05-21 09:40:00+00:00,24809.69921875,24828.400390625,24803.650390625,24828.400390625,0
2025-05-21 09:45:00+00:00,24811.349609375,24815.69921875,24806.5,24809.400390625,0
2025-05-21 09:50:00+00:00,24797.099609375,24819.94921875,24794.849609375,24811.44921875,0
2025-05-21 09:55:00+00:00,24800.400390625,24806.5,24796.5,24797.44921875,0
