datetime,"('close', '^nsei')","('high', '^nsei')","('low', '^nsei')","('open', '^nsei')","('volume', '^nsei')"
2025-05-19 09:15:00+00:00,24929.849609375,24942.80078125,24916.650390625,24941.30078125,0
2025-05-19 09:20:00+00:00,24922.150390625,24937.349609375,24919.0,24931.55078125,0
2025-05-19 09:25:00+00:00,24926.44921875,24930.44921875,24921.400390625,24923.19921875,0
2025-05-19 09:30:00+00:00,24948.650390625,24958.5,24926.19921875,24926.94921875,0
2025-05-19 09:35:00+00:00,24945.25,24956.150390625,24936.25,24947.900390625,0
2025-05-19 09:40:00+00:00,24945.650390625,24949.5,24942.5,24945.650390625,0
2025-05-19 09:45:00+00:00,24945.400390625,24946.849609375,24940.30078125,24945.349609375,0
2025-05-19 09:50:00+00:00,24945.25,24947.94921875,24939.75,24944.849609375,0
2025-05-19 09:55:00+00:00,24935.349609375,24951.650390625,24927.44921875,24944.80078125,0
2025-05-20 09:15:00+00:00,24699.150390625,24707.05078125,24679.150390625,24681.650390625,0
2025-05-20 09:20:00+00:00,24689.25,24706.69921875,24688.69921875,24699.80078125,0
2025-05-20 09:25:00+00:00,24677.30078125,24691.69921875,24677.0,24688.650390625,0
2025-05-20 09:30:00+00:00,24680.150390625,24695.19921875,24675.0,24677.25,0
2025-05-20 09:35:00+00:00,24686.19921875,24686.80078125,24670.0,24679.80078125,0
2025-05-20 09:40:00+00:00,24693.099609375,24703.55078125,24684.19921875,24685.44921875,0
2025-05-20 09:45:00+00:00,24676.650390625,24693.69921875,24672.05078125,24692.849609375,0
2025-05-20 09:50:00+00:00,24683.150390625,24688.900390625,24675.900390625,24676.599609375,0
2025-05-20 09:55:00+00:00,24713.849609375,24713.849609375,24682.44921875,24682.75,0
2025-05-21 09:15:00+00:00,24799.05078125,24806.0,24792.55078125,24801.69921875,0
2025-05-21 09:20:00+00:00,24810.25,24813.900390625,24790.150390625,24798.69921875,0
2025-05-21 09:25:00+00:00,24807.19921875,24812.900390625,24796.349609375,24810.94921875,0
2025-05-21 09:30:00+00:00,24816.75,24828.44921875,24807.0,24807.0,0
2025-05-21 09:35:00+00:00,24829.349609375,24829.849609375,24815.0,24816.75,0
2025-05-21 09:40:00+00:00,24809.69921875,24828.400390625,24803.650390625,24828.400390625,0
2025-05-21 09:45:00+00:00,24811.349609375,24815.69921875,24806.5,24809.400390625,0
2025-05-21 09:50:00+00:00,24797.099609375,24819.94921875,24794.849609375,24811.44921875,0
2025-05-21 09:55:00+00:00,24800.400390625,24806.5,24796.5,24797.44921875,0
